uniqueid,predicted_bank_account
uniqueid_1639,0
uniqueid_1899,0
uniqueid_7611,0
uniqueid_4018,0
uniqueid_7991,0
uniqueid_1043,0
uniqueid_1531,0
uniqueid_3420,0
uniqueid_1741,0
uniqueid_432,0
uniqueid_247,0
uniqueid_6187,1
uniqueid_317,0
uniqueid_7668,0
uniqueid_497,0
uniqueid_6429,1
uniqueid_4782,0
uniqueid_3860,0
uniqueid_1871,1
uniqueid_6400,0
uniqueid_8510,0
uniqueid_349,0
uniqueid_5747,0
uniqueid_856,0
uniqueid_1972,0
uniqueid_4048,0
uniqueid_5078,0
uniqueid_6103,0
uniqueid_1390,0
uniqueid_2465,0
uniqueid_1490,0
uniqueid_1266,0
uniqueid_7639,0
uniqueid_4464,0
uniqueid_2851,0
uniqueid_5875,0
uniqueid_3923,0
uniqueid_1488,0
uniqueid_7544,0
uniqueid_2653,0
uniqueid_66,0
uniqueid_5672,0
uniqueid_7279,0
uniqueid_3654,0
uniqueid_5621,0
uniqueid_2908,0
uniqueid_4902,0
uniqueid_6137,1
uniqueid_1683,0
uniqueid_5655,1
uniqueid_3381,0
uniqueid_1211,0
uniqueid_1976,0
uniqueid_270,0
uniqueid_3399,0
uniqueid_4499,1
uniqueid_648,0
uniqueid_4918,0
uniqueid_6498,0
uniqueid_5087,1
uniqueid_2475,0
uniqueid_5793,0
uniqueid_6053,0
uniqueid_744,0
uniqueid_3508,0
uniqueid_1172,0
uniqueid_3356,0
uniqueid_6251,0
uniqueid_4971,0
uniqueid_5811,0
uniqueid_3791,0
uniqueid_7050,1
uniqueid_6522,0
uniqueid_1112,0
uniqueid_1827,0
uniqueid_1323,0
uniqueid_1128,0
uniqueid_617,0
uniqueid_4727,0
uniqueid_5139,0
uniqueid_4028,0
uniqueid_3778,0
uniqueid_5766,0
uniqueid_1880,0
uniqueid_1137,0
uniqueid_4721,0
uniqueid_7948,0
uniqueid_3432,0
uniqueid_8474,0
uniqueid_7433,0
uniqueid_1753,0
uniqueid_1810,0
uniqueid_593,0
uniqueid_7399,1
uniqueid_3429,1
uniqueid_7095,0
uniqueid_3554,0
uniqueid_4153,0
uniqueid_5468,0
uniqueid_4577,0
uniqueid_360,1
uniqueid_8310,0
uniqueid_108,0
uniqueid_2105,0
uniqueid_2528,0
uniqueid_831,0
uniqueid_4777,0
uniqueid_575,1
uniqueid_5469,0
uniqueid_1560,0
uniqueid_737,0
uniqueid_79,0
uniqueid_6537,0
uniqueid_5429,0
uniqueid_831,0
uniqueid_4257,0
uniqueid_2548,0
uniqueid_8616,0
uniqueid_2994,0
uniqueid_416,0
uniqueid_1437,0
uniqueid_2449,1
uniqueid_2986,0
uniqueid_925,0
uniqueid_7019,0
uniqueid_5569,1
uniqueid_8456,0
uniqueid_5089,0
uniqueid_3569,0
uniqueid_2371,0
uniqueid_4545,0
uniqueid_118,1
uniqueid_2971,0
uniqueid_1805,0
uniqueid_5216,1
uniqueid_3505,0
uniqueid_1577,0
uniqueid_1816,0
uniqueid_696,0
uniqueid_1230,0
uniqueid_5672,0
uniqueid_3374,0
uniqueid_7748,1
uniqueid_4511,0
uniqueid_2822,0
uniqueid_976,0
uniqueid_4785,0
uniqueid_1532,0
uniqueid_3216,1
uniqueid_1906,0
uniqueid_321,0
uniqueid_4032,0
uniqueid_5956,0
uniqueid_6277,1
uniqueid_5680,0
uniqueid_1337,0
uniqueid_430,0
uniqueid_3928,0
uniqueid_5493,0
uniqueid_2519,0
uniqueid_1568,0
uniqueid_2301,0
uniqueid_497,0
uniqueid_3751,0
uniqueid_5550,0
uniqueid_3260,0
uniqueid_1233,1
uniqueid_4125,0
uniqueid_7298,1
uniqueid_1449,0
uniqueid_104,0
uniqueid_14,0
uniqueid_3014,0
uniqueid_4148,0
uniqueid_694,0
uniqueid_5948,1
uniqueid_1489,0
uniqueid_1649,0
uniqueid_5056,0
uniqueid_340,0
uniqueid_3498,1
uniqueid_2775,0
uniqueid_2963,0
uniqueid_192,0
uniqueid_2348,0
uniqueid_1101,0
uniqueid_1561,1
uniqueid_202,0
uniqueid_5480,0
uniqueid_2740,1
uniqueid_3254,1
uniqueid_926,0
uniqueid_2175,1
uniqueid_5795,0
uniqueid_2902,0
uniqueid_1636,0
uniqueid_8231,0
uniqueid_426,0
uniqueid_4823,0
uniqueid_3291,0
uniqueid_2140,0
uniqueid_1141,0
uniqueid_2914,0
uniqueid_2785,1
uniqueid_6664,0
uniqueid_3644,1
uniqueid_5637,0
uniqueid_8160,0
uniqueid_3263,0
uniqueid_36,0
uniqueid_5649,0
uniqueid_5057,0
uniqueid_3800,0
uniqueid_1512,0
uniqueid_3101,0
uniqueid_7793,0
uniqueid_616,0
uniqueid_3023,0
uniqueid_1712,0
uniqueid_4576,0
uniqueid_725,0
uniqueid_2721,0
uniqueid_5707,0
uniqueid_45,0
uniqueid_3762,0
uniqueid_447,1
uniqueid_7024,0
uniqueid_75,1
uniqueid_458,0
uniqueid_1966,0
uniqueid_1298,0
uniqueid_2182,0
uniqueid_4076,1
uniqueid_4064,0
uniqueid_1883,0
uniqueid_1611,0
uniqueid_799,0
uniqueid_226,0
uniqueid_2593,0
uniqueid_4197,0
uniqueid_2594,0
uniqueid_4413,0
uniqueid_4667,1
uniqueid_225,0
uniqueid_2227,0
uniqueid_874,0
uniqueid_7193,0
uniqueid_5091,0
uniqueid_3516,1
uniqueid_2000,0
uniqueid_2061,0
uniqueid_377,0
uniqueid_3983,0
uniqueid_4023,0
uniqueid_6440,0
uniqueid_7382,1
uniqueid_4860,0
uniqueid_1246,0
uniqueid_3020,0
uniqueid_678,0
uniqueid_1062,0
uniqueid_95,1
uniqueid_6449,0
uniqueid_3718,1
uniqueid_1726,0
uniqueid_4617,1
uniqueid_2721,0
uniqueid_1207,0
uniqueid_1843,0
uniqueid_5855,0
uniqueid_6034,0
uniqueid_1527,0
uniqueid_235,1
uniqueid_7601,0
uniqueid_2358,0
uniqueid_4249,0
uniqueid_794,0
uniqueid_5860,0
uniqueid_5472,1
uniqueid_703,0
uniqueid_2668,0
uniqueid_130,0
uniqueid_6071,0
uniqueid_3963,1
uniqueid_4477,0
uniqueid_1915,0
uniqueid_2819,0
uniqueid_6433,0
uniqueid_1533,0
uniqueid_364,0
uniqueid_5870,0
uniqueid_8245,0
uniqueid_627,0
uniqueid_1887,0
uniqueid_1275,0
uniqueid_4093,0
uniqueid_1516,0
uniqueid_4946,0
uniqueid_5332,0
uniqueid_2310,0
uniqueid_3870,0
uniqueid_4622,0
uniqueid_1649,0
uniqueid_5994,0
uniqueid_1978,0
uniqueid_1829,1
uniqueid_4918,0
uniqueid_5667,0
uniqueid_5935,0
uniqueid_3090,0
uniqueid_4572,0
uniqueid_1673,0
uniqueid_147,0
uniqueid_1080,0
uniqueid_418,0
uniqueid_7967,0
uniqueid_6951,0
uniqueid_1765,0
uniqueid_3469,0
uniqueid_280,0
uniqueid_4380,0
uniqueid_4164,0
uniqueid_2004,0
uniqueid_2218,1
uniqueid_62,0
uniqueid_2340,0
uniqueid_20,0
uniqueid_480,1
uniqueid_4148,0
uniqueid_1734,0
uniqueid_2684,1
uniqueid_6465,0
uniqueid_4908,0
uniqueid_1710,1
uniqueid_5400,0
uniqueid_702,0
uniqueid_5758,0
uniqueid_575,0
uniqueid_5166,0
uniqueid_5498,0
uniqueid_616,0
uniqueid_2078,0
uniqueid_6574,0
uniqueid_7080,0
uniqueid_4770,0
uniqueid_1410,0
uniqueid_1307,0
uniqueid_1178,0
uniqueid_7637,0
uniqueid_6552,0
uniqueid_167,0
uniqueid_2816,0
uniqueid_4384,0
uniqueid_2402,1
uniqueid_232,0
uniqueid_4270,0
uniqueid_509,0
uniqueid_2779,0
uniqueid_4512,0
uniqueid_4177,0
uniqueid_4832,0
uniqueid_4418,0
uniqueid_697,0
uniqueid_6854,0
uniqueid_402,0
uniqueid_6597,0
uniqueid_4541,0
uniqueid_7738,0
uniqueid_5279,0
uniqueid_139,0
uniqueid_3308,1
uniqueid_585,0
uniqueid_4106,1
uniqueid_3266,1
uniqueid_6464,0
uniqueid_1509,1
uniqueid_90,0
uniqueid_2948,0
uniqueid_5858,0
uniqueid_985,0
uniqueid_829,1
uniqueid_1826,0
uniqueid_3190,0
uniqueid_8736,0
uniqueid_1752,0
uniqueid_1984,0
uniqueid_5288,0
uniqueid_1378,0
uniqueid_2761,0
uniqueid_1447,0
uniqueid_4189,0
uniqueid_1750,0
uniqueid_728,0
uniqueid_7822,0
uniqueid_1807,0
uniqueid_1345,1
uniqueid_1541,0
uniqueid_2949,0
uniqueid_894,0
uniqueid_5795,1
uniqueid_7878,0
uniqueid_2883,0
uniqueid_3324,0
uniqueid_5773,0
uniqueid_3577,0
uniqueid_2987,1
uniqueid_874,0
uniqueid_7376,0
uniqueid_1702,0
uniqueid_2979,0
uniqueid_7117,0
uniqueid_4940,1
uniqueid_4315,0
uniqueid_2979,1
uniqueid_3518,1
uniqueid_132,0
uniqueid_3626,0
uniqueid_4396,0
uniqueid_4185,0
uniqueid_2209,0
uniqueid_7597,0
uniqueid_3857,0
uniqueid_3210,1
uniqueid_5298,0
uniqueid_311,1
uniqueid_2209,0
uniqueid_2766,0
uniqueid_4880,0
uniqueid_3577,0
uniqueid_1356,0
uniqueid_5261,0
uniqueid_895,0
uniqueid_594,0
uniqueid_7698,1
uniqueid_2359,1
uniqueid_5358,1
uniqueid_2893,0
uniqueid_3332,0
uniqueid_2914,0
uniqueid_5158,0
uniqueid_5425,0
uniqueid_1625,0
uniqueid_920,1
uniqueid_989,0
uniqueid_516,0
uniqueid_4867,0
uniqueid_3946,1
uniqueid_4327,0
uniqueid_1209,0
uniqueid_921,0
uniqueid_8365,0
uniqueid_720,0
uniqueid_6819,0
uniqueid_5069,0
uniqueid_1928,0
uniqueid_2081,1
uniqueid_1906,0
uniqueid_1651,0
uniqueid_2704,0
uniqueid_5368,0
uniqueid_5205,0
uniqueid_729,0
uniqueid_4639,0
uniqueid_1944,0
uniqueid_6183,0
uniqueid_5647,0
uniqueid_8563,0
uniqueid_4014,0
uniqueid_3793,0
uniqueid_1233,0
uniqueid_2423,1
uniqueid_5979,0
uniqueid_5348,0
uniqueid_5992,0
uniqueid_5980,0
uniqueid_3068,0
uniqueid_1054,0
uniqueid_2820,0
uniqueid_6579,0
uniqueid_6124,0
uniqueid_4680,0
uniqueid_3677,0
uniqueid_1085,0
uniqueid_3598,0
uniqueid_6319,0
uniqueid_4960,0
uniqueid_1056,0
uniqueid_50,0
uniqueid_6316,0
uniqueid_4622,0
uniqueid_3073,0
uniqueid_462,0
uniqueid_1024,0
uniqueid_1271,0
uniqueid_4746,0
uniqueid_1649,0
uniqueid_1518,1
uniqueid_8203,0
uniqueid_4134,0
uniqueid_2579,0
uniqueid_5366,0
uniqueid_2616,0
uniqueid_16,0
uniqueid_1121,0
uniqueid_6109,0
uniqueid_7278,0
uniqueid_1371,0
uniqueid_8358,0
uniqueid_7500,0
uniqueid_1610,0
uniqueid_1438,0
uniqueid_6863,0
uniqueid_5835,0
uniqueid_7013,0
uniqueid_1688,0
uniqueid_2509,0
uniqueid_5389,0
uniqueid_3076,0
uniqueid_3598,1
uniqueid_1711,0
uniqueid_1249,0
uniqueid_6908,0
uniqueid_224,1
uniqueid_4465,0
uniqueid_1485,0
uniqueid_5893,0
uniqueid_4986,0
uniqueid_6426,0
uniqueid_5112,1
uniqueid_3038,0
uniqueid_6326,0
uniqueid_1157,0
uniqueid_5381,0
uniqueid_4516,1
uniqueid_1872,0
uniqueid_220,0
uniqueid_140,0
uniqueid_4131,1
uniqueid_2109,0
uniqueid_3420,0
uniqueid_3991,0
uniqueid_1135,0
uniqueid_3217,0
uniqueid_924,0
uniqueid_7377,0
uniqueid_706,0
uniqueid_1034,0
uniqueid_3618,0
uniqueid_5086,0
uniqueid_2347,0
uniqueid_5537,0
uniqueid_2541,0
uniqueid_3799,0
uniqueid_1527,0
uniqueid_1954,1
uniqueid_5957,1
uniqueid_6354,0
uniqueid_4390,0
uniqueid_8667,0
uniqueid_3238,0
uniqueid_1946,0
uniqueid_5776,0
uniqueid_3125,0
uniqueid_735,0
uniqueid_3086,0
uniqueid_4971,0
uniqueid_3658,1
uniqueid_3528,0
uniqueid_6168,0
uniqueid_6715,0
uniqueid_7658,0
uniqueid_2389,0
uniqueid_554,0
uniqueid_4539,0
uniqueid_2376,0
uniqueid_4757,0
uniqueid_2040,0
uniqueid_7731,0
uniqueid_2038,0
uniqueid_1731,0
uniqueid_5385,0
uniqueid_6629,0
uniqueid_1999,1
uniqueid_1045,0
uniqueid_1623,0
uniqueid_4127,0
uniqueid_3031,0
uniqueid_3105,0
uniqueid_569,0
uniqueid_2732,0
uniqueid_2257,0
uniqueid_5614,0
uniqueid_7220,0
uniqueid_1659,0
uniqueid_4851,0
uniqueid_3999,0
uniqueid_1472,0
uniqueid_598,0
uniqueid_1419,1
uniqueid_793,0
uniqueid_1672,0
uniqueid_2589,0
uniqueid_299,0
uniqueid_7447,0
uniqueid_2224,0
uniqueid_6331,0
uniqueid_7837,0
uniqueid_3794,0
uniqueid_7529,0
uniqueid_3547,0
uniqueid_1900,0
uniqueid_1592,0
uniqueid_5602,0
uniqueid_4614,0
uniqueid_3073,0
uniqueid_3092,0
uniqueid_795,0
uniqueid_6428,0
uniqueid_3289,0
uniqueid_3468,0
uniqueid_760,0
uniqueid_1379,0
uniqueid_8423,0
uniqueid_4758,0
uniqueid_2216,1
uniqueid_3767,0
uniqueid_2024,0
uniqueid_3029,0
uniqueid_3308,0
uniqueid_357,0
uniqueid_3583,0
uniqueid_1743,0
uniqueid_537,1
uniqueid_4034,1
uniqueid_5733,0
uniqueid_2382,0
uniqueid_4641,0
uniqueid_1950,0
uniqueid_3169,0
uniqueid_2428,0
uniqueid_30,0
uniqueid_193,0
uniqueid_56,1
uniqueid_2699,0
uniqueid_5098,0
uniqueid_7536,0
uniqueid_2427,0
uniqueid_3363,0
uniqueid_497,1
uniqueid_2220,0
uniqueid_6126,0
uniqueid_1401,1
uniqueid_1668,0
uniqueid_1646,0
uniqueid_8280,0
uniqueid_3169,0
uniqueid_2430,0
uniqueid_764,0
uniqueid_934,0
uniqueid_2149,0
uniqueid_1214,0
uniqueid_6375,0
uniqueid_519,1
uniqueid_364,0
uniqueid_8564,0
uniqueid_2808,0
uniqueid_613,0
uniqueid_6275,0
uniqueid_770,0
uniqueid_5136,0
uniqueid_1765,0
uniqueid_3744,0
uniqueid_482,0
uniqueid_1151,0
uniqueid_947,0
uniqueid_864,0
uniqueid_4980,0
uniqueid_2203,0
uniqueid_1574,0
uniqueid_2879,0
uniqueid_3292,0
uniqueid_3930,0
uniqueid_1687,1
uniqueid_4610,0
uniqueid_273,0
uniqueid_5671,0
uniqueid_3406,0
uniqueid_77,0
uniqueid_2136,0
uniqueid_5500,0
uniqueid_2335,0
uniqueid_752,0
uniqueid_6281,0
uniqueid_468,0
uniqueid_8524,0
uniqueid_3441,0
uniqueid_733,0
uniqueid_542,0
uniqueid_6188,0
uniqueid_137,0
uniqueid_2096,0
uniqueid_3606,0
uniqueid_1501,0
uniqueid_4528,0
uniqueid_3794,1
uniqueid_1829,0
uniqueid_1353,0
uniqueid_5717,0
uniqueid_1324,0
uniqueid_2531,0
uniqueid_3351,0
uniqueid_3250,1
uniqueid_8759,0
uniqueid_7349,0
uniqueid_3361,0
uniqueid_1271,0
uniqueid_3262,0
uniqueid_2586,0
uniqueid_7241,0
uniqueid_5909,0
uniqueid_2181,0
uniqueid_1525,1
uniqueid_2066,0
uniqueid_5057,0
uniqueid_5503,0
uniqueid_1358,1
uniqueid_5706,0
uniqueid_4165,0
uniqueid_7513,0
uniqueid_3257,0
uniqueid_1957,0
uniqueid_39,0
uniqueid_1514,0
uniqueid_3238,0
uniqueid_8604,0
uniqueid_4846,0
uniqueid_6283,0
uniqueid_997,0
uniqueid_2378,0
uniqueid_2034,0
uniqueid_8209,0
uniqueid_2360,0
uniqueid_3948,0
uniqueid_4455,0
uniqueid_1512,0
uniqueid_5638,0
uniqueid_6379,0
uniqueid_3716,0
uniqueid_1588,0
uniqueid_955,0
uniqueid_3205,0
uniqueid_621,0
uniqueid_5305,0
uniqueid_2998,0
uniqueid_7553,0
uniqueid_6007,0
uniqueid_3278,1
uniqueid_3645,0
uniqueid_5808,0
uniqueid_3284,0
uniqueid_834,0
uniqueid_3364,1
uniqueid_2032,0
uniqueid_1879,1
uniqueid_4495,0
uniqueid_4432,0
uniqueid_2830,0
uniqueid_2691,0
uniqueid_4550,0
uniqueid_720,0
uniqueid_5407,0
uniqueid_443,0
uniqueid_6656,0
uniqueid_1970,0
uniqueid_1391,0
uniqueid_2010,0
uniqueid_345,0
uniqueid_3460,0
uniqueid_1399,1
uniqueid_1395,0
uniqueid_1479,0
uniqueid_5275,0
uniqueid_2836,1
uniqueid_4277,0
uniqueid_1228,0
uniqueid_3956,0
uniqueid_557,0
uniqueid_3337,0
uniqueid_760,1
uniqueid_1551,0
uniqueid_1661,0
uniqueid_4606,0
uniqueid_4689,0
uniqueid_5547,0
uniqueid_1740,0
uniqueid_7645,0
uniqueid_3193,0
uniqueid_520,1
uniqueid_599,1
uniqueid_6421,0
uniqueid_814,0
uniqueid_8363,0
uniqueid_5726,0
uniqueid_3711,0
uniqueid_4453,0
uniqueid_5321,1
uniqueid_7840,0
uniqueid_3143,0
uniqueid_3698,0
uniqueid_4895,0
uniqueid_2498,1
uniqueid_6593,0
uniqueid_3232,1
uniqueid_7582,0
uniqueid_3179,0
uniqueid_4591,0
uniqueid_82,0
uniqueid_4658,0
uniqueid_1756,0
uniqueid_8394,0
uniqueid_1428,0
uniqueid_4749,0
uniqueid_5191,0
uniqueid_6031,0
uniqueid_557,1
uniqueid_911,0
uniqueid_6555,0
uniqueid_100,0
uniqueid_811,0
uniqueid_3968,0
uniqueid_521,0
uniqueid_784,0
uniqueid_5876,0
uniqueid_5084,0
uniqueid_3497,0
uniqueid_7551,0
uniqueid_3495,0
uniqueid_5848,0
uniqueid_984,1
uniqueid_2903,0
uniqueid_1794,0
uniqueid_4602,0
uniqueid_1409,0
uniqueid_6207,0
uniqueid_1088,1
uniqueid_5415,0
uniqueid_783,1
uniqueid_6247,0
uniqueid_1572,0
uniqueid_3101,0
uniqueid_1660,0
uniqueid_1279,0
uniqueid_4921,0
uniqueid_1273,0
uniqueid_4040,0
uniqueid_5732,0
uniqueid_3632,0
uniqueid_1674,0
uniqueid_655,0
uniqueid_2905,1
uniqueid_1072,0
uniqueid_4260,0
uniqueid_4301,0
uniqueid_2741,0
uniqueid_1723,0
uniqueid_496,0
uniqueid_1020,0
uniqueid_1903,1
uniqueid_1368,0
uniqueid_4546,0
uniqueid_2082,0
uniqueid_5083,0
uniqueid_33,0
uniqueid_1163,1
uniqueid_7975,0
uniqueid_5328,0
uniqueid_1598,0
uniqueid_1023,0
uniqueid_3228,0
uniqueid_1222,0
uniqueid_359,0
uniqueid_3982,0
uniqueid_5475,0
uniqueid_772,0
uniqueid_643,0
uniqueid_4339,1
uniqueid_3165,1
uniqueid_3361,0
uniqueid_5815,0
uniqueid_710,0
uniqueid_4204,0
uniqueid_5407,0
uniqueid_2961,0
uniqueid_4367,0
uniqueid_2508,0
uniqueid_5059,1
uniqueid_110,0
uniqueid_801,0
uniqueid_4023,0
uniqueid_2810,0
uniqueid_3887,0
uniqueid_8105,0
uniqueid_3100,0
uniqueid_425,0
uniqueid_5392,1
uniqueid_858,0
uniqueid_6351,0
uniqueid_3543,0
uniqueid_6374,0
uniqueid_2022,0
uniqueid_3676,0
uniqueid_3145,0
uniqueid_2588,0
uniqueid_6070,0
uniqueid_6972,0
uniqueid_5817,0
uniqueid_1646,0
uniqueid_3097,0
uniqueid_8084,0
uniqueid_4255,0
uniqueid_76,0
uniqueid_885,0
uniqueid_1917,1
uniqueid_4041,0
uniqueid_146,0
uniqueid_372,0
uniqueid_5,0
uniqueid_3483,0
uniqueid_534,1
uniqueid_51,0
uniqueid_8324,0
uniqueid_6033,0
uniqueid_2797,0
uniqueid_2123,1
uniqueid_6115,0
uniqueid_3319,0
uniqueid_5210,0
uniqueid_7062,0
uniqueid_2705,0
uniqueid_132,0
uniqueid_1895,0
uniqueid_1400,0
uniqueid_2241,0
uniqueid_1975,0
uniqueid_1674,0
uniqueid_1331,1
uniqueid_4653,0
uniqueid_652,0
uniqueid_993,0
uniqueid_3903,0
uniqueid_107,0
uniqueid_5645,1
uniqueid_5045,0
uniqueid_3872,1
uniqueid_8730,0
uniqueid_4918,0
uniqueid_7847,0
uniqueid_4572,0
uniqueid_76,0
uniqueid_3596,0
uniqueid_1427,0
uniqueid_4458,0
uniqueid_6751,1
uniqueid_2909,0
uniqueid_1184,0
uniqueid_2575,0
uniqueid_5710,0
uniqueid_5041,0
uniqueid_5093,0
uniqueid_472,1
uniqueid_4084,0
uniqueid_3637,1
uniqueid_2031,0
uniqueid_7370,0
uniqueid_2306,0
uniqueid_4804,0
uniqueid_4313,1
uniqueid_784,0
uniqueid_60,0
uniqueid_3243,0
uniqueid_2338,0
uniqueid_7200,0
uniqueid_6754,0
uniqueid_172,0
uniqueid_8516,0
uniqueid_3454,0
uniqueid_3878,0
uniqueid_1486,0
uniqueid_302,0
uniqueid_1984,0
uniqueid_1562,0
uniqueid_120,0
uniqueid_455,0
uniqueid_8004,0
uniqueid_4457,0
uniqueid_2035,0
uniqueid_2325,0
uniqueid_4507,0
uniqueid_3487,0
uniqueid_3544,0
uniqueid_7154,0
uniqueid_1771,0
uniqueid_6649,0
uniqueid_6564,0
uniqueid_5641,0
uniqueid_2991,0
uniqueid_4031,1
uniqueid_6897,0
uniqueid_6254,0
uniqueid_2482,0
uniqueid_1248,0
uniqueid_2421,0
uniqueid_5963,0
uniqueid_4209,0
uniqueid_1918,0
uniqueid_3104,0
uniqueid_7556,0
uniqueid_4989,0
uniqueid_210,0
uniqueid_5519,0
uniqueid_3056,0
uniqueid_6566,0
uniqueid_7613,0
uniqueid_73,1
uniqueid_584,0
uniqueid_1114,0
uniqueid_1952,0
uniqueid_3276,0
uniqueid_6040,0
uniqueid_7128,0
uniqueid_1108,0
uniqueid_1907,0
uniqueid_2741,0
uniqueid_4099,0
uniqueid_671,0
uniqueid_4845,0
uniqueid_1218,0
uniqueid_4908,1
uniqueid_3632,0
uniqueid_927,1
uniqueid_612,0
uniqueid_4048,0
uniqueid_478,0
uniqueid_1616,0
uniqueid_7480,0
uniqueid_164,0
uniqueid_3831,0
uniqueid_6067,0
uniqueid_894,0
uniqueid_2787,0
uniqueid_3049,0
uniqueid_2010,0
uniqueid_8391,0
uniqueid_1,0
uniqueid_8447,0
uniqueid_5582,1
uniqueid_999,0
uniqueid_357,0
uniqueid_5215,0
uniqueid_487,0
uniqueid_6084,1
uniqueid_1640,0
uniqueid_5354,0
uniqueid_4410,0
uniqueid_4715,1
uniqueid_1910,0
uniqueid_1400,0
uniqueid_358,1
uniqueid_3948,0
uniqueid_2195,0
uniqueid_422,0
uniqueid_186,0
uniqueid_7202,0
uniqueid_4621,0
uniqueid_1634,0
uniqueid_2972,0
uniqueid_5160,0
uniqueid_2941,0
uniqueid_255,0
uniqueid_1114,0
uniqueid_8707,0
uniqueid_4500,1
uniqueid_921,0
uniqueid_99,0
uniqueid_1879,0
uniqueid_7359,0
uniqueid_989,0
uniqueid_1044,0
uniqueid_5195,0
uniqueid_40,1
uniqueid_1516,0
uniqueid_3080,0
uniqueid_987,0
uniqueid_2096,0
uniqueid_7683,0
uniqueid_507,0
uniqueid_3562,0
uniqueid_1405,0
uniqueid_4311,0
uniqueid_1245,0
uniqueid_7471,0
uniqueid_3022,0
uniqueid_1026,1
uniqueid_6124,0
